Réf. Part.;Type partenaire;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Taux;Code département;Denom part.;Adresse part.;CP part.;Ville part.;Blacklistage;Motif blacklistage;Date blacklistage
EG042216;;55979669;"Smartbox Group France";"19 av Dubonnet 92400 COURBEVOIE";;;;;Non Annonceur;Taux 3;092;"Smartbox";"19 av Dubonnet";92400;"Courbevoie";;;
EG042474;;08687417;"Aramis Auto";"77 AV Laplace 94110 ARCUEIL";;;;08687417;Annonceur Module;Taux 2;094;"Aramis Auto";"Avenue Laplace";94110;"Arcueil";;;
EG042988;;52813009;"Cdiscount";"120 qu Bacalan 33300 BORDEAUX";;;;;Non Annonceur;Taux 3;033;"Cdiscount.com";"120 quai Bacalan";33067;"Bordeaux Cedex";;;
EG043025;;04578994;"Verisure";"416 AV Division Leclerc 92290 CHATENAY MALABRY";;;;04578994;Annonceur Module;Taux 2;092;"Verisure";"Centrale Parc  Avenue Sully Prudhomme";92290;"Chatenay Malabary";;;
EG043880;;54741503;"Leetchi";"4 r Tour des Dames 75009 PARIS";;;;;Non Annonceur;Taux 3;075;"Leetchi";"4 rue tour des dames";75009;"Paris";;;
EG043972;;54299711;"Oscaro.com";"34 av Champs Elysées 75008 PARIS";;;;;Non Annonceur;Taux 3;075;"Oscaro";"34 av Champs Elysées";75008;"Paris";;;
EG043975;;56779026;"Outiror";"bd Alfred Nobel 37540 Saint Cyr sur Loire";;;;;Non Annonceur;Taux 3;037;"Outiror";"Parc d'activités Equatop bd Alfred Nobel";37540;"SAINT CYR SUR LOIRE";;;
EG044193;;55033710;"Ocarat";"27 r Pont Neuf 75001 PARIS";;;;52458605;Annonceur Module;Taux 2;075;"Ocarat";"3 rue perrault";75001;"Paris";;;
EG044502;;00034358;"Cuisines Désign Industries";"rte Nantes 85660 SAINT PHILBERT DE BOUAINE";;;;;Non Annonceur;Taux 3;085;"Arthur Bonnet";"Route de Nantes";85660;"Saint-Philbert-de-Bouaine";;;
EG044632;;51341408;"Bazarchic";"171 av Grésillons 92230 GENNEVILLIERS";;;;;Non Annonceur;Taux 3;092;"BazarChic";"171 Avenue des Grésillons";92230;"Gennevilliers";;;
EG047749;;03077980;"Piscines Waterair";"Zone Artisanale 68580 SEPPOIS LE BAS";;;;;Non Annonceur;Taux 3;068;"Waterair";"Zone Artisanale";68580;"Seppois le bas";;;
EG047780;;54655622;"Nickel";"18 av Winston Churchill 94220 CHARENTON LE PONT";;;;;Non Annonceur;Taux 3;094;"NiCKEL";"18 av Winston Churchill";94220;"Chareton le pont";;;
EG0416334;;50952958;"Technitoit";"5 r Gutenberg 49130 Les Ponts de Cé";;;;;Non Annonceur;Taux 3;049;"Technitoit";"5 rue Gutenberg";49130;"Les Ponts de Cé";;;
EG0421921;;09274374;"Aramis Auto";"140 r Victor Baltard 13290 AIX EN PROVENCE";;;;08687417;Annonceur Module;Taux 2;013;"Aramisauto Aix en Provence, 140 Rue Victor Baltard";"140 Rue Victor Baltard  13100 Aix en Provence  France";13100;"Aix en Provence";;;
EG0421922;;09274374;"Aramis Auto";"140 r Victor Baltard 13290 AIX EN PROVENCE";;;;08687417;Annonceur Module;Taux 2;013;"Aramisauto Aix-en-Provence Aix-en-Provence, 140 Rue Victor Baltard";"140 Rue Victor Baltard  13290 Aix en Provence  France";13290;"Aix-en-Provence";;;
EG0421926;;09409249;"Aramis Auto";"545 r Frères Thibault 77190 DAMMARIE LES LYS";;;;08687417;Annonceur Module;Taux 2;077;"Aramis Auto-les-Lys, 545 Rue des Frères Thibault";"545 Rue des Frères Thibault  77190 Dammarie les Lys  France";77190;"Dammarie-les-Lys";;;
EG0421927;;09287639;"Aramis Auto";"33 rte Jonage 69150 DECINES CHARPIEU";;;;08687417;Annonceur Module;Taux 2;069;"Aramisauto Lyon Décines, 33 Route de Jonage";"33 Route de Jonage  69150 Décines  France";69150;"Décines";;;
EG0421928;;52859331;"Aramis Auto";"15 r Mayence 21000 DIJON";;;;08687417;Annonceur Module;Taux 2;021;"Aramisauto Dijon Dijon, 15 Rue de Mayence";"15 Rue de Mayence  21000 Dijon  France";21000;"Dijon";;;
EG0421929;;51958286;"Aramis Auto";"463 r Jasse 34130 MAUGUIO";;;;08687417;Annonceur Module;Taux 2;034;"Aramisauto Montpellier Mauguio, 463 Rue de la Jasse";"463 Rue de la Jasse  34130 Mauguio  France";34130;"Mauguio";;;
EG0421930;;51907441;"Aramis Auto";"7 r Aristide Berges 31600 MURET";;;;08687417;Annonceur Module;Taux 2;031;"Aramis auto Toulouse Muret, 7 Rue Aristide Berges";"7 Rue Aristide Berges  31600 Muret  France";31600;"Muret";;;
EG0421932;;54293973;"Aramis Auto";"zac Moulin A Vent 95650 Puiseux Pontoise";;;;08687417;Annonceur Module;Taux 2;095;"Aramisauto Cergy-Pontoise Puiseux-Pontoise, Boulevard du Moulin À Vent";"Boulevard du Moulin À Vent  95650 Puiseux Pontoise  France";95650;"Puiseux-Pontoise";;;
EG0421933;;55427518;"Aramis Auto";"19 r Bahon Rault 35000 RENNES";;;;08687417;Annonceur Module;Taux 2;035;"Aramisauto Rennes Rennes, 19 Rue Bahon Rault";"19 Rue Bahon Rault  35000 Rennes  France";35000;"Rennes";;;
EG0421934;;55431720;"Aramis Auto";"17 r Glairaux 38120 SAINT EGREVE";;;;08687417;Annonceur Module;Taux 2;038;"Aramisauto Grenoble Saint-Egrève, 17 Rue des Glairaux";"17 Rue des Glairaux  38120 Saint Egrève  France";38120;"Saint-Egrève";;;
EG0421935;;55184574;"Aramis Auto";"13 av Régiment Normandie Niemen 91700 SAINTE GENEVIEVE DES BOIS";;;;08687417;Annonceur Module;Taux 2;091;"Aramisauto Sainte-Geneviève-des-Bois, 13-15 Avenue du Régiment Normandie Niemen";"13 15 Avenue du Régiment Normandie Niemen  91700 Sainte Geneviève des Bois  France";91700;"Sainte-Geneviève-des-Bois";;;
EG0421936;;51348059;"Aramis Auto";"7 r Rouge Bouton 59113 SECLIN";;;;08687417;Annonceur Module;Taux 2;059;"Aramisauto Lille Seclin, 7 Rue du Rouge Bouton";"7 Rue du Rouge Bouton  59113 Seclin  France";59113;"Seclin";;;
EG0421937;;51356568;"Aramis Auto";"4 che Mi Voie 76300 SOTTEVILLE LES ROUEN";;;;08687417;Annonceur Module;Taux 2;076;"Aramisauto Rouen Sotteville-lès-Rouen, 4 Chemin de la Mi-Voie";"4 Chemin de la Mi Voie  76300 Sotteville lès Rouen  France";76300;"Sotteville-lès-Rouen";;;
EG0421938;;51633738;"Aramis Auto";"36   r Tuileries 67460 Souffelweyersheim";;;;08687417;Annonceur Module;Taux 2;067;"Aramisauto Strasbourg Souffelweyersheim, 30 Route de Brumath";"30 Route de Brumath  67460 Souffelweyersheim  France";67460;"Souffelweyersheim";;;
EG0421939;;52582647;"Aramis Auto";"86 rte Thionville 57140 WOIPPY";;;;08687417;Annonceur Module;Taux 2;057;"Aramisauto Metz Woippy, 86 Avenue de Thionville";"86 Avenue de Thionville  57140 Woippy  France";57140;"Woippy";;;
EG0422486;;51817009;"Aramis";"1319 rte Quarante Sous 78630 ORGEVAL";;;;08687417;Annonceur Module;Taux 2;078;"Aramisauto Saint-Germain-en-Laye Orgeval, 1319 Route de Quarante Sous";"1319 Route de Quarante Sous  78630 Orgeval  France";78630;"Orgeval";;;
EG0422614;;55274332;"Arthur Bonnet";"r Petit Montron 53000 LAVAL";;;;55274332;Annonceur Module;Taux 2;053;"Arthur Bonnet Laval";"Parc de l'habitat Chemin des Montrons";53000;"Laval";;;
EG0422615;;55389737;"Arthur Bonnet";"2 r Joseph Cugnot 49130 LES PONTS DE CE";;;;55389737;Annonceur Module;Taux 2;049;"Arthur Bonnet Angers - Les Ponts De Ce";"2 rue Joseph Cugnot";49130;"Les ponts de ce";;;
EG0422623;;00391561;"Cuisines Jean Richard SARL";"10 r Picardan 34500 BEZIERS";;;;;Non Annonceur;Taux 3;034;"Arthur Bonnet Beziers";"10 rue du Picardan";34500;"Beziers";;;
EG0422626;;52401211;"Id Cuisines et Bains Kemper Agencements";"20 r François Muret de Pagnac 29000 QUIMPER";;;;;Non Annonceur;Taux 3;029;"Arthur Bonnet Quimper";"20 rue François Muret de Pagnac";29000;"Quimper";;;
EG0422629;;56005914;"ARTHUR BONNET AB CONCEPT";"av Boutillerie 59320 SEQUEDIN";;;;;Non Annonceur;Taux 3;059;"Arthur Bonnet Sequedin";"Avenue de la Boutillerie  59320 Sequedin  France";59320;"Sequedin";;;
EG0422633;;51785882;"Louane Déco";"15 r Arthur Rimbaud 37100 TOURS";;;;;Non Annonceur;Taux 3;037;"Arthur Bonnet Tours";"15 Rue Arthur Rimbaud  37100 Tours  France";37100;"Tours";;;
EG0422652;;55939676;"Ambiance Cuisine Design Lorient";"43 R Daniel Trudaine 56600 LANESTER";;;;;Non Annonceur;Taux 3;056;"Arthur Bonnet Lorient - Lanester";"43 rue Daniel Trudaine Parc Trudaine";56600;"Lanester";;;
EG0422653;;50386029;"Coin Cuisine";"11 r Ambroise Paré 22360 LANGUEUX";;;;50386029;Annonceur Module;Taux 2;022;"Arthur Bonnet Saint Brieuc - Langueux";"11 rue Ambroise Paré";22360;"Langueux";;;
EG0422662;;55299328;"Arthur Bonnet";"26 av Gén de Gaulle 69410 Champagne au Mont d'Or";;;;;Non Annonceur;Taux 3;069;"Arthur Bonnet Lyon - Champagne Au Mont D'or";"26 Avenue Charles de Gaulle";69410;"Champagne au mont d'or";;;
EG0422671;;51237041;"Allo Cuisines";"28 bd François et Emile Zola 13100 AIX EN PROVENCE";;;;51237041;Annonceur Module;Taux 2;013;"Arthur Bonnet Aix En Provence";"28  Bd François et Emile ZOLA";13100;"Aix en provence";;;
EG0422722;;53883699;"S.A.S LENIMAX";"5 AV Foch 94100 SAINT MAUR DES FOSSES";;;;53883699;Annonceur Module;Taux 2;094;"Les Cuisines Lenimax Saint-Maur-des-Fossés";"5 Avenue Foch  94100 Saint Maur des Fossés  France";94100;"Saint-Maur-des-Fossés";;;
EG0422723;;53697714;"CUISINES DESIGN MONTARGIS";"2 bis r Nicéphore Niépce 45700 VILLEMANDEUR";;;;;Non Annonceur;Taux 3;045;"Arthur Bonnet Montargis - Villemandeur";"2Bis Rue Nicephore Niepce";45700;"Villemandeur";;;
EG0422729;;55510155;"Aramis Auto";"8 r Campilleau 33520 BRUGES";;;;08687417;Annonceur Module;Taux 2;033;"Aramisauto Bordeaux Bruges";"8 rue de Campilleau ZI Campilleau  33520 Bruges  France";33520;"Bruges";;;
EG0422739;;52536578;"Technitoit Rouen";"3 r Anjou 76240 LE MESNIL ESNARD";;;;;Non Annonceur;Taux 3;076;"Technitoit Rouen";"Rue d'Anjou  76240 Le Mesnil Esnard  France";76240;"Le Mesnil-Esnard";;;
EG0422743;;00476211;"S.N Cuisine";"33 R Bac 76000 ROUEN";;;;00476211;Annonceur PVI et Video;Taux 1;076;"Arthur Bonnet Rouen";"33 rue du bac";76000;"Rouen";;;
EG0422758;;52956097;"Arthur Bonnet";"24 r Bois D'Orly 57685 AUGNY";;;;51200630;Annonceur Module;Taux 2;057;"Arthur Bonnet Metz - Augny";"24 rue du Bois d'Orly";57685;"Augny";;;
EG0422769;;07892427;"ARTHUR BONNET Cuisines Vincent Davy Conc";"35 R Lejamptel 35120 DOL DE BRETAGNE";;;;07892427;Annonceur;Taux 3;035;"Arthur Bonnet Dol De Bretagne";"35  Rue Lejamptel";35120;"Dol de bretagne";;;
EG0422770;;00363774;"Arthur Bonnet";"za Besneraye 35520 MELESSE";;;;;Non Annonceur;Taux 3;035;"Arthur Bonnet Rennes - Melesse";"Z C  CONFORT LAND";35520;"Melesse";;;
EG0422773;;52535958;"Technitoit Lyon";"35 che Afrique 69680 Chassieu";;;;;Non Annonceur;Taux 3;069;"Technitoit Lyon";"Chemin de l'Afrique  69680 Chassieu";69680;"Chassieu";;;
EG0422776;;07576500;"Arthur Bonnet";"2 r René Cassin 38120 SAINT EGREVE";;;;;Non Annonceur;Taux 3;038;"Arthur Bonnet Grenoble - Saint Egreve";"2  Rue René Cassin ZI ST EGREVE";38120;"Saint egreve";;;
EG0422793;;07432982;"Aquitaine Cuisine Diffusion";"208 av Marne 33700 MERIGNAC";;;;07432982;Annonceur Module;Taux 2;033;"Arthur Bonnet Bordeaux - Merignac";"208  Avenue de la Marne";33700;"Merignac";;;
EG0422798;;51977506;"Technitoit Toulouse";"61 rte Paris 31140 Aucamville";;;;;Non Annonceur;Taux 3;031;"Technitoit Toulouse";"Route de Paris";31140;"Aucamville";;;
EG0422807;;56349781;"Aramis Auto";"6 av Tropiques 91940 LES ULIS";;;;08687417;Annonceur Module;Taux 2;091;"Aramisauto Les Ulis Les Ulis, 6 Avenue des Tropiques";"6 Avenue des Tropiques  91940 Les Ulis  France";91940;"Les Ulis";;;
EG0422816;;54060747;"Technitoit ""la Maison Auto-nettoyante"" Clermont-ferrand";"3 r Hector Guimard 63800 COURNON D'AUVERGNE";;;;;Non Annonceur;Taux 3;063;"Technitoit Clermont-Ferrand";"Rue Hector Guimard";63800;"Cournon-d'Auvergne";;;
EG0422831;;50241388;"Technitoit le Mans";"24 r André Citroën 72000 LE MANS";;;;;Non Annonceur;Taux 3;072;"Technitoit Le Mans";"Rue André Citroën";72000;"Le Mans";;;
EG0422839;;53811937;"Nima Concept";"13 rte Soultz 68270 WITTENHEIM";;;;;Non Annonceur;Taux 3;068;"Arthur Bonnet Mulhouse - Wittenheim";"13  rue de Soultz";68270;"Wittenheim";;;
EG0422842;;00206745;"Bubendorff Volet Roulant";"41 r Lectoure 68300 SAINT LOUIS";;;;;Non Annonceur;Taux 3;068;"Bubendorff";"Rue Lectoure";68300;"SAINT LOUIS Cedex";;;
EG0422844;;00214692;"Arthur Bonnet Inter Cuisines Concessionnaire";"9 r Chapelet 64200 BIARRITZ";;;;00214692;Annonceur Module;Taux 2;064;"Arthur Bonnet Biarritz";"ZA La Negresse";64200;"Biarritz";;;
EG0422860;;53909562;"Technitoit Grenoble";"32 r Comboire 38130 ECHIROLLES";;;;;Non Annonceur;Taux 3;038;"Technitoit Grenoble";"Rue de Comboire";38130;"Échirolles";;;
EG0422886;;54485216;"ARTHUR BONNET";"423 r Gustave Eiffel 33380 BIGANOS";;;;;Non Annonceur;Taux 3;033;"Arthur Bonnet Biganos";"423 rue Gustave Eiffel";33380;"Biganos";;;
EG0422897;;58610228;"Arthur Bonnet";"21 r Jean Moulin 03410 DOMERAT";;;;58610228;Annonceur;Taux 3;003;"Arthur Bonnet Montlucon - Domerat";"21 rue Jean Moulin ZAC châteaugay";03410;"Domerat";;;
EG0422932;;55435899;"Arthur Bonnet HL";"AV François Mauriac 84700 SORGUES";;;;;Non Annonceur;Taux 3;084;"Arthur Bonnet Avignon - Sorgues";"Lieu dit La Gaffe de guerre Zone Commerciale du Pontet";84700;"Sorgues";;;
EG0422933;;50133272;"Bab Concept";"10 R Raymond Grimaud 31700 BLAGNAC";;;;50133272;Annonceur Module;Taux 2;031;"Arthur Bonnet Toulouse - Blagnac";"10  Rue Raymond Grimaud";31700;"Blagnac";;;
EG0422959;;09719342;"Ixina Sainte Genevieve Des Bois";"26 ZA De La Croix Blanche 91700 SAINTE GENEVIEVE DES BOIS";;;;;Non Annonceur;Taux 3;091;"Arthur Bonnet Sainte Genevieve Des Bois";"Avenue du bout du Plessis ZC de la croix blanche";91700;"Sainte genevieve des bois";;;
EG0422965;;55828114;"Nima Design";"4 r Industrie 67550 VENDENHEIM";;;;;Non Annonceur;Taux 3;067;"Arthur Bonnet Strasbourg - Vendenheim";"4 Rue de l'industrie";67550;"Vendenheim";;;
