Part;Type partenaire;Denom part.;Adresse part.;CP part;Ville part.;Tél;SIRET;Réf. Part.;Date appel WS MPG;Code EPJ;RS EPJ;Adresse EPJ;Forçage;Motif forçage;Date forçage;Client;Statut;Sup;Statut parution;Raison technique;Blacklistage;Motif blacklistage;Date blacklistage
EG04;;Aramisauto Fréjus Puget-sur-Argens, Chemin du Drap;Chemin du Drap  83480 Puget sur Argens  France;83480;Puget-sur-Argens;;;EG0421931;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet Quimper;20 rue François Muret de Pagnac;29000;Quimper;0298533912;51960263500012;EG0422626;12/11/2018 00:00:00;52401211;"Id Cuisines et Bains Kemper Agencements";"20 r François Muret de Pagnac 29000 QUIMPER";;;;;Non Annonceur;;Rapprochement douteux;Rapprochement vers un EPJ inactif avec élément EP;;;
EG04;;Arthur Bonnet Douai;56 Boulevard Vauban  59500 Douai  France;59500;Douai;;;EG0422630;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet Jaux;402 Rue des Métiers  60880 Jaux  France;60880;Jaux;;;EG0422635;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet Osny, 15 Rue de Gisors;15 Rue de Gisors  95520 Osny  France;95520;Osny;;;EG0423098;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Sarl Lanvie Decors Chambray-lès-Tours;81 Rue Charles Coulomb  37170 Chambray lès Tours  France;37170;Chambray-lès-Tours;;;EG0423100;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet Mont-de-Marsan;302 Avenue du Maréchal Juin  40000 Mont de Marsan  France;40000;Mont-de-Marsan;;;EG0423122;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Aramis La Tronche, Boulevard de la Chantourne;Boulevard de la Chantourne  38700 La Tronche  France;38700;La Tronche;;;EG0423150;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet - Cuisiniste Villemomble Villemomble;1 Avenue de Rosny  93250 Villemomble  France;93250;Villemomble;;;EG0423247;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Arthur Bonnet - Cuisiniste Montauban;56 Rue de Pater  82000 Montauban  France;82000;Montauban;;;EG0423316;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
EG04;;Association Aramise Beauvais, 4 Allée des Tilleuls;4 Allée des Tilleuls  60000 Beauvais  France;60000;Beauvais;;;EG0423334;26/05/2019 09:38:45;;;;;;;;;;Non rapproché;;;;
